Shipsure Account Description,Level,Shipsure Account Number,Account Type,HFM Account Number,HFM Account Description,,,,
Land & Build Op Bal,4,1100100,Balance Sheet,BS10103,Buildings Cost,,,,
Land & Build Additions,4,1100101,Balance Sheet,BS10103,Buildings Cost,,,,
Land & Build Disposals,4,1100102,Balance Sheet,BS10103,Buildings Cost,,,,
Land & Build Revaluations,4,1100103,Balance Sheet,BS10103,Buildings Cost,,,,
Land & Build Ex Fluct,4,1100104,Balance Sheet,BS10103,Buildings Cost,,,,
Land & Build Interco Trans,4,1100105,Balance Sheet,BS10103,Buildings Cost,,,,
Land Op Bal,4,1100150,Balance Sheet,BS10103,Buildings Cost,,,,
Land Additions,4,1100151,Balance Sheet,BS10103,Buildings Cost,,,,
Land Disposals,4,1100152,Balance Sheet,BS10103,Buildings Cost,,,,
Land Revaluations,4,1100153,Balance Sheet,BS10103,Buildings Cost,,,,
Land Ex Fluct,4,1100154,Balance Sheet,BS10103,Buildings Cost,,,,
Land Interco Trans,4,1100155,Balance Sheet,BS10103,Buildings Cost,,,,
Off & Bus Equip Op Bal,4,1100200,Balance Sheet,BS10130,Office and Bus Equip Cost ,,,,
Off & Bus Equip Additions,4,1100201,Balance Sheet,BS10130,Office and Bus Equip Cost ,,,,
Off & Bus Equip Disposals,4,1100202,Balance Sheet,BS10130,Office and Bus Equip Cost ,,,,
Off & Bus Equip Revaluations,4,1100203,Balance Sheet,BS10130,Office and Bus Equip Cost ,,,,
Off & Bus Equip Ex Fluct,4,1100204,Balance Sheet,BS10130,Office and Bus Equip Cost ,,,,
Off & Bus Equip Interco Trans,4,1100205,Balance Sheet,BS10130,Office and Bus Equip Cost ,,,,
Off Fitttings Op Bal,4,1100300,Balance Sheet,BS10140,Office Furniture and Fittings Cost ,,,,
Off Fittings Additions,4,1100301,Balance Sheet,BS10140,Office Furniture and Fittings Cost ,,,,
Off Fittings Disposals,4,1100302,Balance Sheet,BS10140,Office Furniture and Fittings Cost ,,,,
Off Fittings Revaluations,4,1100303,Balance Sheet,BS10140,Office Furniture and Fittings Cost ,,,,
Off Fittings Ex Fluct,4,1100304,Balance Sheet,BS10140,Office Furniture and Fittings Cost ,,,,
Off Fittings Interco Trans,4,1100305,Balance Sheet,BS10140,Office Furniture and Fittings Cost ,,,,
Off Furniture Op Bal,4,1100400,Balance Sheet,BS10140,Office Furniture and Fittings Cost ,,,,
Off Furniture Additions,4,1100401,Balance Sheet,BS10140,Office Furniture and Fittings Cost ,,,,
Off Furniture Disposals,4,1100402,Balance Sheet,BS10140,Office Furniture and Fittings Cost ,,,,
Off Furniture Revaluations,4,1100403,Balance Sheet,BS10140,Office Furniture and Fittings Cost ,,,,
Off Furniture Ex Fluct,4,1100404,Balance Sheet,BS10140,Office Furniture and Fittings Cost ,,,,
Off Furniture Interco Trans,4,1100405,Balance Sheet,BS10140,Office Furniture and Fittings Cost ,,,,
Motor Veh Op Bal,4,1100500,Balance Sheet,BS10210,Motor Vehicle Cost,,,,
Motor Veh Additions,4,1100501,Balance Sheet,BS10210,Motor Vehicle Cost,,,,
Motor Veh Disposals,4,1100502,Balance Sheet,BS10210,Motor Vehicle Cost,,,,
Motor Veh Revaluations,4,1100503,Balance Sheet,BS10210,Motor Vehicle Cost,,,,
Motor Veh Ex Fluct,4,1100504,Balance Sheet,BS10210,Motor Vehicle Cost,,,,
Motor Veh Interco Trans,4,1100505,Balance Sheet,BS10210,Motor Vehicle Cost,,,,
Finance Lease Op Bal,4,1100550,Balance Sheet,BS10210,Motor Vehicle Cost,,,,
Finance Lease Additions,4,1100551,Balance Sheet,BS10210,Motor Vehicle Cost,,,,
Finance Lease Disposals,4,1100552,Balance Sheet,BS10210,Motor Vehicle Cost,,,,
Finance Lease Revaluations,4,1100553,Balance Sheet,BS10210,Motor Vehicle Cost,,,,
Finance Lease Ex Fluct,4,1100554,Balance Sheet,BS10210,Motor Vehicle Cost,,,,
Finance Lease Interco Trans,4,1100555,Balance Sheet,BS10210,Motor Vehicle Cost,,,,
IT Hardware Op Bal,4,1100600,Balance Sheet,BS10160,IT Hardware Cost ,,,,
IT Hardware Additions,4,1100601,Balance Sheet,BS10160,IT Hardware Cost ,,,,
IT Hardware Disposals,4,1100602,Balance Sheet,BS10160,IT Hardware Cost ,,,,
IT Hardware Revaluations,4,1100603,Balance Sheet,BS10160,IT Hardware Cost ,,,,
IT Hardware Ex Fluct,4,1100604,Balance Sheet,BS10160,IT Hardware Cost ,,,,
IT Hardware Interco Trans,4,1100605,Balance Sheet,BS10160,IT Hardware Cost ,,,,
IT Software Op Bal,4,1100700,Balance Sheet,BS11110,IT Software Cost ,,,,
IT Software Additions,4,1100701,Balance Sheet,BS11110,IT Software Cost ,,,,
IT Software Disposals,4,1100702,Balance Sheet,BS11110,IT Software Cost ,,,,
IT Software Revaluations,4,1100703,Balance Sheet,BS11110,IT Software Cost ,,,,
IT Software Ex Fluct,4,1100704,Balance Sheet,BS11110,IT Software Cost ,,,,
IT Software Interco Trans,4,1100705,Balance Sheet,BS11110,IT Software Cost ,,,,
Lease Comm Op Bal,4,1100800,Balance Sheet,BS10150,Leasehold Improvement Cost ,,,,
Lease Comm Additions,4,1100801,Balance Sheet,BS10150,Leasehold Improvement Cost ,,,,
